chapter,idx,character,appearances,descriptors,agent_w,patient_w,poss_w,gender,Name,Race/Ethnicity,Age,Description
15,1,Khalil,51,"stubborn,stubborn","sold,trying,turned,lying,shakes,liked,talked,sold,sold,trying","met,known,stopped,Miss,hit,met,known,stopped,Miss,hit","back,face,hustle,back,face,hustle",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
15,6,Hailey,26,,"did,wanted,liked,said,wanted,go,keeps,go,did,wanted","said,wanted,keep,keep,said,wanted,keep,keep",,she/her,Hailey,White,Adolescent,White friend from private school
15,9,Uncle Carlos,21,,"do,know,ran,arrested,found,do,know,ran,arrested,found","tell,tell,tell,tell","house,house",he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
15,10,Chris,12,,"lives,lives",,,he/him/his,Chris,White,Adolescent,Starr's boyfriend
15,5,DeVante,4,,"told,feel,told,feel",,,she/her,DeVante,Black,Adult,Member of the King Lords gang
16,0,UNK,157,"younger,knowledgeable,able,afraid,okay","do,testify,doubt,wants,opened,had,get,’m,know,drum","support,prepared,calling,told,meet,misdiagnosed,mics,tells,correct,calling","family,brothers,parents,nerves,back,fingers,knee,sleep,vibrates,pocket",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
16,1,Khalil,44,"More,months,jokester,member,n’t,ma’am,dealer,gangbanger,concerned","point,find,think,selling,defend,hated,sold,repped,do,wanted","defend,knew,bothered,forced,killed,held,killed","threat,set,life,murder,words,eyes",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
16,3,Momma,11,,"made,says,’s,make,said,gave,’s,puts",,"hand,mouth",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
16,10,Chris,10,,"responds,replies,invited,’re,’s",,whiteness,he/him/his,Chris,White,Adolescent,Starr's boyfriend
16,5,DeVante,6,,"said,told,understand",told,,he/him/his,DeVante,Black,Adult,Member of the King Lords gang
16,2,Daddy,2,,,,eyes,they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
16,7,King,2,,wants,,,he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
17,0,UNK,460,"witness,normal,younger,knowledgeable,able,afraid,okay","think,’s,imagined,come,seen,received,received,looked,’m,’m","told,shot,picked,take,helps,escorts,drove,tripping,told,asks","interview,tuition,godmother,house,back,words,disregard,way,ones,mom",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
17,10,Chris,143,"interested,ass,soft,perfect","look,does,says,saying,wants,know,picked,’s,wraps,smile","tell,supposed,tell,have,tell,knew,bust,need,straddling,love","phone,tux,tie,leather,arm,boys,tone,hands,head,forehead",he/him/his,Chris,White,Adolescent,Starr's boyfriend
17,1,Khalil,70,"kiss,jokester,angel,person,kid,kid,kid,member,n’t,ma’am","come,died,going,find,think,had,sold,sold,sell,selling","have,mentioned,seen,stopped,call,knew,defend,knew,bothered,forced","momma,life,murder,words,eyes,gun,gun",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
17,6,Hailey,19,arm,"unfollowed,stopped,talk,form,’s,walk,flashes","call,used,compliment","dress,tux,shoulder",she/her,Hailey,White,Adolescent,White friend from private school
17,4,Seven,13,,"presses,leave,got,get,stop,care,yells,threatens,wants",,"face,sister",he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
17,3,Momma,11,,"made,says,’s,make,said,gave,’s,puts",,"hand,mouth",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
17,5,DeVante,8,,"said,’s,told,understand","invited,told",,he/him/his,DeVante,Black,Adult,Member of the King Lords gang
17,7,King,7,,"’s,wants",heated,"threat,set",he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
17,2,Daddy,6,,"smoked,sold","Knowing,tell",eyes,they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
17,9,Uncle Carlos,3,,,told,,he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
18,0,UNK,424,"ready,younger,witness","lie,’m,hiss,got,say,nod,want,guess,asked,sling","take,reminds,asked,tell,hands,hear,told,shot,picked,take","parents,brothers,parents,moment,room,brothers,I,shake,finger,sisters",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
18,10,Chris,138,"interested,normal,ass,soft,perfect","look,does,says,saying,wants,know,picked,’s,wraps,smile","tell,supposed,tell,have,tell,knew,knew,bust,need,tell","phone,tux,tie,leather,arm,boys,tone,ass,hands,head",he/him/his,Chris,White,Adolescent,Starr's boyfriend
18,3,Momma,115,"percent,coughs","wanted,says,raises,got,says,start,says,says,folds,say",watching,"arms,throat,mom,mouth,bowl,sundae,eyes,spoon,bowl,crotch",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
18,2,Daddy,107,"serious,crazy,serious","pulls,says,unlocks,said,replies,says,says,’re,get,glares","Thank,hear,thank,noticed,cut,kill,got,locked,Knowing,tell","family,girl,school,attention,niece,cops",they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
18,4,Seven,83,successful,"asks,asks,’s,looks,goes,says,’s,realize,reaches,looks","beat,pull,beat,flipping,tells,pulls,love,Guide,dropped,pulls","shirt,wanna,temple,back,foot,foot,question,face",he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
18,9,Uncle Carlos,36,,"gets,call,asks,says,says,say,says,folds,gives,yells","locked,call,locked","neighborhood,neighborhood,buddies,arms,boy,niece,nephews,momma,keys",he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
18,6,Hailey,17,arm,"unfollowed,stopped,talk,’s,walk,flashes,keep","Voldemorted,used,compliment","dress,tux,shoulder",she/her,Hailey,White,Adolescent,White friend from private school
18,1,Khalil,15,kiss,"come,died,going","have,mentioned,seen,stopped","family,momma",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
19,0,UNK,315,"worried,refined,brave,word,friends,okay,ready,younger","blink,giving,fail,put,grab,open,pick,’m,set,grab","wake,takes,seeing,hit,drives,flank,hugs,pulls,knows,know","eyes,walls,feet,slippers,pajamas,plate,towel,walls,scuff,eggs",they/them/their,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
19,2,Daddy,168,"serious,serious","looks,asks,says,smirks,passes,thought,tell,says,says,says","hand,pass,bring,handcuffed,tell,hear,haul,took,grilled,Thank","baby,jumpsuit,arms,family,arm,girl,team,spot,team,momma",he/him/his,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
19,3,Momma,137,"percent,coughs","work,looks,says,move,cries,wish,stop,pulls,’s,plants","drives,watching,locked","shoulder,hands,eyes,eyes,tiptoes,arms,throat,mom,mouth,bowl",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
19,9,Uncle Carlos,81,kid,"moves,pats,think,says,holds,grew,covers,sets,ate,says","ask,locked,keep,call,locked","pistol,hand,eggs,fingers,sodium,life,fingers,eggs,plate,buddies",he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
19,4,Seven,74,successful,"asks,asks,goes,says,’s,realize,reaches,looks,guess,like","beat,pull,beat,flipping,tells,pulls,love,Guide,dropped","shirt,wanna,temple,back,foot,foot,question",he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
19,1,Khalil,12,,"died,needs","fail,know,knew",family,he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
19,10,Chris,4,,"have,’s",,height,he/him/his,Chris,White,Adolescent,Starr's boyfriend
20,0,UNK,296,"upset,shocked,worried,brave,word,okay","gave,talked,dash,’m,wiggle,wear,doubt,snitched,heard,tell","sees,hands,claws,expelled,slices,tear,pulls,cradles,stop,lets","toes,party,side,dashboard,joke,fist,hair,ponytail,fists,head",they/them/their,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
20,2,Daddy,100,,"calls,used,saying,says,expect,says,gets,does,moving,have","tell,know,feel,kisses,suspended,hand,pass,bring,handcuffed,tell","truck,phone,boy,ass,lap,homework,dad,baby,fingers,jumpsuit",he/him/his,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
20,6,Hailey,68,serious,"talking,sees,gets,says,tell,lied,hands,printed,thought,says","Excuse,accused,give,push,lose,popped","arms,eyes,God,ancestors,joke,fault,fault,cheek,eyes,mouth",she/her,Hailey,White,Adolescent,White friend from private school
20,1,Khalil,52,"dealer,gangbanger","pull,say,wears,’s,looked,look,ate,got,gon,deserved","shot,remove,knew,knew,murdered,kill,shot,murdered,fail,know","license,registration,mouth,hand,grandma,name,breath",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
20,3,Momma,49,,"says,running,said,shot,have,says,looks,leans,kisses,promise","kisses,drives","mouth,throat,man,man,arms,arm,shoulder,hands,eyes,eyes",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
20,9,Uncle Carlos,39,"refined,kid","tell,moves,pats,think,says,holds,realize,grew,covers,sets",ask,"pistol,hand,eggs,eggs,fingers,sodium,eggs,plate,buddies",he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
20,4,Seven,32,protective,"dash,’re,asks,doubt,’s,gives,goes,says,throws,trails","tell,expelled,allowed,tagged","locker,sister,Mustang,throat,sister",he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
20,7,King,8,,"threw,done,inhale",watch,,he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
20,10,Chris,4,,"have,’s",,height,he/him/his,Chris,White,Adolescent,Starr's boyfriend
21,0,UNK,160,afraid,"seen,go,have,’re,break,get,say,climb,run,catch","pushes,used,eyes,pulls,pulls,egging,leaving,kill","family,cornrows,J,face,hands,mom,auntie,stomach,worlds,cheek",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
21,4,Seven,109,"right,okay","turns,became,became,did,circle,cheer,puts,moves,pushes,mean","handed,motions,see,follow,have,see,show,tell,tell,grown","party,friends,friends,head,hips,aunt,uncle,grandma,residence,graduation",he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
21,3,Momma,28,,"loses,becomes,go,do,runs,pulls,hollers,pulls,says,gon","trade,trade,tells","mind,spot",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
21,2,Daddy,23,,"cry,play,jumps,gets,motions,invite,says,make,says,says","pushes,leads",,they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
21,5,DeVante,21,,"comes,pushes,says,take,rubs,gets,sits,watches,play,nods","brings,forget,took,tutoring",daddy,she/her,DeVante,Black,Adult,Member of the King Lords gang
21,10,Chris,21,fine,"walk,gets,squeezes,’re,seen,keeps,walk,does",love,"palms,butt",he/him/his,Chris,White,Adolescent,Starr's boyfriend
21,7,King,7,,"leave,fuck,wants,see","stop,Tell",,he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
21,9,Uncle Carlos,3,,pigs,,neighbors,he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
21,1,Khalil,3,,died,,,they/them/their,Khalil Harris,Black,Adolescent,Childhood friend shot by police
22,0,UNK,295,"normal,upset,serious,shocked","tell,got,know,stick,know,need,text,ask,knew,met","knock,picks,throw,prop,gives,kisses,search,pulls,waking,holds","parents,hands,hoodie,Timbs,elbows,nod,eyes,side,back,shoulder",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
22,4,Seven,142,"good,protective","sucks,know,fooling,know,making,sighs,know,going,disappear,know","tell,tell,keep,stopping,lose,Help,tell,protect,tell,expelled","teeth,boyfriend,phone,face,way,engine,ignition,eyes,arm,arm",he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
22,10,Chris,77,,"picks,play,steps,sits,says,think,need,turns,gets,think","met,charge,Do,trust","Benz,parents,house,room,floor,wall,King,nightstand,bed,Chucks",he/him/his,Chris,White,Adolescent,Starr's boyfriend
22,6,Hailey,54,,"talking,sees,gets,says,tell,lied,hands,printed,thought,says","do,Excuse,accused,push,lose,popped","arms,eyes,God,cheek,eyes,mouth,skirt,drawers,hands,mouth",she/her,Hailey,White,Adolescent,White friend from private school
22,5,DeVante,50,"okay,a’ight,a’ight","walked,lies,doing,groans,says,says,stole,earned,got,bends","seen,get,sit,pushed,helping,helps,get,pull,tells,sees","blood,nose,mouth,eyes,side,nose,lip,ass,ass,hands",he/him/his,DeVante,Black,Adult,Member of the King Lords gang
22,1,Khalil,41,"right,dealer,gangbanger","pull,say,wears,’s,looked,look,ate,got,gon,deserved","shot,remove,knew,knew,murdered,kill,shot,murdered","license,registration,mouth,grandma,breath",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
22,2,Daddy,36,,"calls,used,saying,says,says,does,moving,have,give,give","tell,know,feel","truck,boy",they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
22,3,Momma,34,,"know,go,explain,says,running,said,shot,have,says,looks","call,’m,kisses","mouth,throat,man,man,arms,arm",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
22,7,King,33,,"’s,coming,said,coming,got,pushed,stand,smiles,leans,wants","pissed,guides,watch","throne,ass,throne,face,shoulders,ear,chair",he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
22,9,Uncle Carlos,2,,"said,tell",,,he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
23,10,Chris,87,"white,black","understand,says,says,echoes,says,agree,closes,opens,want,staying","take,handed,like,test","mouth,hand,palm,hands,pockets,seat,ass,eyes,mom,head",he/him/his,Chris,White,Adolescent,Starr's boyfriend
23,0,UNK,86,"subject,subject","told,did,wanna,say,care,snap,did,make,gotten,harassed","supposed,eyes,got,put","stand,family,house,throat,hand,hoodie,hair,head,anger,parents",they/them/their,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
23,5,DeVante,83,"dead,able","shakes,gives,talking,asks,got,holds,winces,grabs,straightens,walked","beat,initiated,get,snatched,beat,smack,tell,tell","head,phone,side,nose,lip,arm,momma,name,name,names",he/him/his,DeVante,Black,Adult,Member of the King Lords gang
23,4,Seven,59,,"’s,punches,covers,wipes,’m,turns,gets,holds,nods,take",tell,"house,driveway,eyes,face,seat,face,fist,pops",he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
23,1,Khalil,16,"walking,thug,alone","had,had,had,killed,go,get",killed,"death,life",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
23,2,Daddy,6,,"lie,got,lost,protect",help,,they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
23,3,Momma,3,,"shows,need",,,she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
23,7,King,3,,stand,,boys,he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
23,8,Mr. Lewis,2,,,,haircuts,he/him/his,Mr. Lewis,Black,Adult,Starr's history teacher at private school
24,0,UNK,324,"witness,afraid","say,know,’m,pump,put,sitting,push,get,grabs,think","tells,Told,go,Excuse,kicked,snaps,spots,kill,told,leads","hand,eyes,foot,eyes,daze,attorney,eyes,voice,hand,attorney",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
24,4,Seven,182,"right,okay","said,says,rubs,pumps,rests,wish,thought,wait,got,know","takes,took,convince,got,handed,motions,see,follow,have,see","baby,head,car,shirt,mouth,hands,dreads,keys,eyes,keys",he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
24,5,DeVante,113,"younger,okay,fine","says,push,tells,pushes,says,’s,brushes,says,’m,throws","let,tell,beat,get,carry,sets,turns,drown,helps,brings","baby,hand,side,way,time,momma,friend,teeth,momma,face",he/him/his,DeVante,Black,Adult,Member of the King Lords gang
24,10,Chris,70,,"kidding,says,know,help,asks,said,climbs,glances,jog,says","killing,took,help,gives,love","house,shoulder,breath,dad,girl,boy,girl,palms,butt",he/him/his,Chris,White,Adolescent,Starr's boyfriend
24,3,Momma,39,,"saying,says,told,saw,swear,gon,loses,becomes,go,do","call,told,call,trade,trade","calls,mind,spot",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
24,2,Daddy,26,,"cry,play,jumps,gets,motions,invite,says,make,fucking,says","pushes,leads",office,they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
24,1,Khalil,23,,"lying,looks,smiles,drops,opens,died,died,lived,lived,lived",,"life,shrine",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
24,7,King,7,,"kicked,did,did,did,fuck",stop,,he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
24,9,Uncle Carlos,7,,"heading,pray,turns,became,became,did,pigs",,neighbors,he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
25,0,UNK,230,"bad,mad,normal","shake,gave,saw,cough,say,scream,swear,standing,seen,see","pulls,beckons,save,grounded,love,knock,picks,throw,prop,gives","head,arm,voice,lungs,shoulders,family,parents,head,parents,heart",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
25,4,Seven,132,good,"says,pushes,ram,’s,died,’re,crack,says,reaches,cuts","see,pulls,grabs,tell,tell,keep,stopping,lose,Help,tell","keys,teeth,boyfriend,phone,face,way,engine,ignition,eyes,arm",he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
25,10,Chris,109,,"follow,ram,’s,says,says,says,says,like,do,lifts","gets,give,Boxing,fight,know,met,charge,Do,trust","mask,shoulders,Benz,parents,house,room,floor,wall,bed,nightstand",he/him/his,Chris,White,Adolescent,Starr's boyfriend
25,5,DeVante,91,"okay,a’ight,a’ight","follow,needs,need,crack,cracks,says,saying,want,mean,pauses","gets,tell,take,protected,use,seen,get,sit,pushed,helping","eye,blood,nose,mouth,eyes,side,nose,lip,ass,ass",he/him/his,DeVante,Black,Adult,Member of the King Lords gang
25,7,King,90,,"leans,stand,sit,stares,takes,sparks,gon,reach,tell,laughs","knock,hold,watch,saw,saw,order,load,get,pissed,guides","cigarette,boys,boys,cigar,lips,head,boys,boys,door,boys",he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
25,2,Daddy,83,,"left,have,runs,tells,fumbles,pulls,attempts,stands,turns,yells","swat,stops,tell,elbows,asking,Boxing","office,keys,head,face,store,head,arm,face,arm,head",he/him/his,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
25,3,Momma,38,,"goes,runs,holds,helps,says,starts,has,tells,assures,take","hold,call,’m","heels,texts,calls,voice,eyes",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
25,9,Uncle Carlos,25,,"stops,has,convinces,strolls,got,looks,gives,lowers,grabs,left","lowers,putting,asks","colleagues,knees,promises",he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
25,8,Mr. Lewis,19,,"limps,grips,glances,trying,see,looks,limps,looks,limps,move",holding,"eyes,shop,bats",he/him/his,Mr. Lewis,Black,Adult,Starr's history teacher at private school
25,1,Khalil,3,right,deserved,,,she/her,Khalil Harris,Black,Adolescent,Childhood friend shot by police
25,6,Hailey,2,,,do,,he/him/his,Hailey,White,Adolescent,White friend from private school
26,0,UNK,222,"petty,ashamed,ashamed,ashamed,quiet,subject,subject","’m,had,mumble,have,turn,put,sit,grab,’m,expected","putting,saw,notices,caught,saw,told,makes,supposed,eyes,put","pillow,mom,room,side,room,phone,nightstand,mom,phone,legs",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
26,10,Chris,90,white,"says,understand,says,says,echoes,says,agree,feel,closes,opens","grounded,take,like,get","parents,mouth,hand,palm,hand,hands,pockets,seat,ass,eyes",he/him/his,Chris,White,Adolescent,Starr's boyfriend
26,5,DeVante,89,"dead,able","struck,shakes,gives,talking,asks,got,holds,winces,grabs,straightens","got,beat,initiated,get,snatched,beat,smack,tell,tell","head,phone,side,nose,lip,arm,momma,name,name,names",he/him/his,DeVante,Black,Adult,Member of the King Lords gang
26,4,Seven,73,,"says,gone,narrows,picked,says,asks,’s,punches,covers,wipes","kill,calling,tell","eyes,house,driveway,eyes,face,seat,face,fist,mom,pops",he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
26,2,Daddy,48,,"clips,says,know,sucks,sets,pours,nods,says,have,had","kiss,help",store,they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
26,8,Mr. Lewis,34,,"sweeps,limps,know,handle,told,says,thinks,closing,looks,need","hug,like","shop,eyes,shoulders,broom,friend,problem,Whoever,haircuts",he/him/his,Mr. Lewis,Black,Adult,Starr's history teacher at private school
26,3,Momma,30,,"told,saw,mean,wants,leaves,turn,flips,mumbles,notices,scolds",scare,"hand,chin,chin",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
26,1,Khalil,21,"walking,thug,alone","had,had,had,killed,go,get","bringing,killed","death,life",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
26,6,Hailey,19,"nonexistent,wrong","spoken,apologizing,says,’s,said,’s,see,has,see,change","keep,delete","actions,garbage",she/her,Hailey,White,Adolescent,White friend from private school
26,9,Uncle Carlos,2,,said,,,he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
27,0,UNK,155,witness,"say,know,’m,pump,put,sitting,push,get,grabs,think","tells,Told,go,Excuse,kicked,snaps,spots,kill,told,leads","hand,eyes,foot,eyes,daze,attorney,eyes,voice,hand,attorney",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
27,4,Seven,72,,"said,says,rubs,pumps,rests,wish,thought,wait,got,know","takes,took,convince,got","baby,head,car,shirt,mouth,hands,dreads,keys,eyes,keys",he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
27,5,DeVante,60,younger,"says,push,tells,pushes,says,’s,brushes,says,’m,throws","let,tell,beat,get,carry,sets,turns,drown,helps","baby,hand,side,way,time,momma,friend,teeth,momma,face",he/him/his,DeVante,Black,Adult,Member of the King Lords gang
27,10,Chris,50,,"kidding,says,know,help,asks,said,climbs,glances,jog,says","killing,took,help,gives","house,shoulder,breath,dad,girl,boy,girl",he/him/his,Chris,White,Adolescent,Starr's boyfriend
27,1,Khalil,20,,"lying,looks,smiles,drops,opens,died,died,lived,lived,lived",,"life,shrine",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
27,3,Momma,9,,"saying,says,told,gon","call,told,call",calls,they/them/their,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
27,7,King,4,,"kicked,did,did,did",,,he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
27,2,Daddy,2,,,,office,they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
28,0,UNK,87,"bad,mad","shake,gave,saw,cough,say,scream,swear,standing,seen,see","pulls,beckons,save,grounded,love","head,arm,voice,lungs,shoulders,family,parents,head,parents,heart",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
28,2,Daddy,83,,"left,have,runs,tells,fumbles,pulls,attempts,stands,turns,yells","swat,stops,tell,elbows,asking,Boxing","office,keys,head,face,store,head,arm,face,arm,head",he/him/his,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
28,7,King,68,,"leans,stand,sit,stares,takes,sparks,gon,reach,tell,laughs","knock,hold,watch,saw,saw,order,tell,take,load,get","cigarette,boys,boys,cigar,lips,head,boys,boys,door,boys",he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
28,9,Uncle Carlos,34,,"stops,has,convinces,strolls,got,looks,gives,lowers,grabs,left","lowers,putting,asks,use","colleagues,knees,promises",he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
28,10,Chris,32,,"follow,ram,’s,says,says,says,says,like,do,lifts","gets,give,Boxing,fight,know","mask,shoulders",he/him/his,Chris,White,Adolescent,Starr's boyfriend
28,3,Momma,31,,"goes,runs,holds,helps,says,starts,has,tells,assures,take",hold,"heels,texts,calls,voice,eyes",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
28,5,DeVante,24,,"follow,crack,cracks,says,saying,want,mean,pauses,asks,nods","gets,protected",,they/them/their,DeVante,Black,Adult,Member of the King Lords gang
28,8,Mr. Lewis,19,,"limps,grips,glances,trying,see,looks,limps,looks,limps,move",holding,"eyes,shop,bats",he/him/his,Mr. Lewis,Black,Adult,Starr's history teacher at private school
28,4,Seven,17,,"says,pushes,ram,’s,died,’re,crack,says,reaches,cuts","see,pulls,grabs",keys,he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
29,0,UNK,141,"sorry,petty,ashamed,ashamed,ashamed,quiet","’m,had,mumble,have,turn,put,sit,grab,expected,expected","putting,saw,notices,caught,saw,told,makes","pillow,mom,room,side,room,phone,nightstand,mom,phone,legs",she/her,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
29,2,Daddy,39,,"clips,says,know,sucks,sets,pours,nods,says,know,says",kiss,store,they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
29,8,Mr. Lewis,32,,"sweeps,limps,know,handle,told,says,thinks,closing,looks,need","hug,like","shop,eyes,shoulders,broom,friend,problem,Whoever",he/him/his,Mr. Lewis,Black,Adult,Starr's history teacher at private school
29,3,Momma,29,,"told,saw,mean,wants,leaves,turn,flips,mumbles,notices,scolds",scare,"hand,chin,chin",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
29,6,Hailey,19,"nonexistent,wrong","spoken,apologizing,says,’s,said,’s,see,has,see,change","keep,delete","actions,garbage",she/her,Hailey,White,Adolescent,White friend from private school
29,4,Seven,11,,"says,gone,narrows,picked,says,asks","kill,calling",eyes,he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
29,1,Khalil,6,,,bringing,,he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
29,10,Chris,4,,says,grounded,parents,he/him/his,Chris,White,Adolescent,Starr's boyfriend
29,5,DeVante,2,,struck,,,he/him/his,DeVante,Black,Adult,Member of the King Lords gang
